evt_block_time,evt_block_number,liquidity_provider,liquidityProvider,e_asset,lp_token,deposit_size_base,deposit_size_base_usd,deposit_size_e_asset,lp_tokens_acquired,tx_fee_eth,tx_fee_usd,evt_tx_hash,nonce,index,tx_index
2022-12-17T09:34:35+00:00,1.6203552e+07,\xacb87fcf28bd3c3e8411d483461bfca576d4b37c,\xacb87fcf28bd3c3e8411d483461bfca576d4b37c,ePyvCurve-EURS-11FEB22,LPePyvCurve-EURS-11FEB22,-10.276339242178771,-10.553185502345414,-11.697782015830832,-21.783546928307135,0.001722193116385665,2.0321189896104292,\xc9f3050a31c2357606736eeb9611f02acbd950fd9fa446d03f5d9114df6f2b2c,738,426,229
2022-12-17T09:34:11+00:00,1.620355e+07,\xacb87fcf28bd3c3e8411d483461bfca576d4b37c,\xacb87fcf28bd3c3e8411d483461bfca576d4b37c,ePyvCurve-EURS-11FEB22,LPePyvCurve-EURS-11FEB22,-41.10535696871508,-42.21274200938165,-46.79112806332333,-87.13418771322854,0.001640719036069118,1.9359828338001166,\xdec118ca30538c9f52e78440573b6f45db1f6fba98fa62c7dea78135cbbf343a,737,206,127
2022-12-17T09:33:47+00:00,1.6203548e+07,\xacb87fcf28bd3c3e8411d483461bfca576d4b37c,\xacb87fcf28bd3c3e8411d483461bfca576d4b37c,ePyvCurve-EURS-11FEB22,LPePyvCurve-EURS-11FEB22,-164.4214278748603,-168.8509680375266,-187.1645122532933,-348.53675085291417,0.001697034200672102,2.0024324754250538,\x64494f88bd4ca7530ede77f628df8569260d33beb8a9089e7123acc769fac7c9,736,171,137
2022-12-17T09:33:11+00:00,1.6203545e+07,\xacb87fcf28bd3c3e8411d483461bfca576d4b37c,\xacb87fcf28bd3c3e8411d483461bfca576d4b37c,ePyvCurve-EURS-11FEB22,LPePyvCurve-EURS-11FEB22,-657.6857114994413,-675.4038721501064,-748.6580490131732,-1394.1470034116567,0.001662359185258694,1.9615173442378486,\x95b3821e6eceb228bcd4802f4d89baef36822afb60084b4b56374c33d046acae,735,240,109
2022-12-17T09:21:35+00:00,1.6203487e+07,\x99c982e59e0a98ac77fb0834d36a2459eda3fead,\x99c982e59e0a98ac77fb0834d36a2459eda3fead,ePyvCurve-EURS-11FEB22,LPePyvCurve-EURS-11FEB22,-41.10535696871508,-42.21274200938165,-46.79112806332333,-87.13418771322854,0.001690429973776694,1.9991701041872696,\xaead42901a3c941e2008fec5ea2514f60e117cbbb61a36b63d9333ba402709b0,31,269,151
2022-12-17T09:18:23+00:00,1.6203471e+07,\x99c982e59e0a98ac77fb0834d36a2459eda3fead,\x99c982e59e0a98ac77fb0834d36a2459eda3fead,ePyvCurve-EURS-11FEB22,LPePyvCurve-EURS-11FEB22,-164.4214278748603,-168.8509680375266,-187.1645122532933,-348.53675085291417,0.002096251690218833,2.479593236809151,\xa69417385b6ef2283c2017e0fbc29e932a1ca34378f74ed39a5e4c01bccf70b1,30,136,84
2022-12-17T09:16:47+00:00,1.6203463e+07,\x99c982e59e0a98ac77fb0834d36a2459eda3fead,\x99c982e59e0a98ac77fb0834d36a2459eda3fead,ePyvCurve-EURS-11FEB22,LPePyvCurve-EURS-11FEB22,-657.6857114994413,-675.4038721501064,-748.6580490131732,-1394.1470034116567,0.00169471251121889,2.0046245881454885,\xb2d7f3bf64577e7644c84f0cd6643493046fb5855c0d8cc6120d3ec6b2528cd7,28,280,148
2022-11-22T19:48:35+00:00,1.6027728e+07,\xdf9835dfd8de18fbcc8ce5ee327da455cb8a4921,\xdf9835dfd8de18fbcc8ce5ee327da455cb8a4921,ePyvcrv3crypto-12NOV21,LPePyvcrv3crypto-12NOV21,-0.07651840375618808,-60.882752464552325,-0.05603394836279354,-0.13035645892768286,0.002606486096764984,2.9476751268315207,\xcae56ff7d9aeae0c1be39b480f2c4e5997293a81445be4822af4dda60f9c9c3f,105,136,74
2022-10-12T19:20:11+00:00,1.5734074e+07,\x7a7676c0716a9ef45ff065f21e742b6c081c7b6e,\x7a7676c0716a9ef45ff065f21e742b6c081c7b6e,ePyvcrv3crypto-29APR22,LPePyvcrv3crypto-29APR22,-0.06411092796541203,-57.441950953188844,-0.06356284309681458,-0.12486560516389451,0.002957821768084743,3.8357328470699756,\x766a1eb12a7560c169f7216b860e6018bf17cd5db802485507a2b147362287c4,36,183,98
2022-10-02T12:57:47+00:00,1.5660607e+07,\x5880e491215281d6c3a1697b8b7b530e3380fef1,\x5880e491215281d6c3a1697b8b7b530e3380fef1,ePyvcrv3crypto-16SEP22,LPePyvcrv3crypto-16SEP22,-42.15493738286697,-37875.044975326506,-86.04067975925769,-127.46957232585723,0.000905297218069188,1.1752659014696005,\xa527203b25bf5101ac6c4f3707a0dd9a7cf2f7a513b682a59d207e588bf28639,36,241,97
