evt_block_time,evt_tx_hash,depositor,amount,price
2021-07-13 15:59:20+00:00,\x000bf6b1b9ead3d1d92f230c90ae9976d5ece72ad33b9d52e56d4c448bb62eb5,\x422494292e7a9dda8778bb4ea05c2779a3d60f5d,3.0897143163248e-05,2036.3756691722938
2021-10-24 14:54:31+00:00,\x0022688f746915e6137a51dd7f2f806fdd76ad85f0861aa68608ae0c44a76cd1,\x4d1dcf15acbc0b69aed7b0d87bda5cbc66c48184,14.677735237379283,4176.190213628331
2021-10-03 08:57:10+00:00,\x0135f07fb8828a1f02598ee8f46f970daf2129e94e90d106c1bf348fe788e1a2,\xee099c54c31475fb486ffe72323af68d6c61f17e,13.8,3472.841924062418
2021-09-30 13:52:00+00:00,\x0172aac414735bf9ca70494b02843397dd39e141a85f4105b73c573e2a41ded4,\xbc79855178842fdba0c353494895deef509e26bb,4878.5,3049.4757026642746
2021-10-10 02:06:37+00:00,\x03eaabe754518007f0dadf0c5bffe771a46a27c737ba61335a2f728633e90619,\x3f5b5d7d68164628c4b61ca3eccc4f877396f993,0.01,3631.8947890399218
2022-01-02 10:05:28+00:00,\x04637ca728575393f1b410b1ababf192452a9aa3476114acf79ab790bf66f540,\xcab62e7d3994b0dd38a9724e695f824674dda130,79.71376001606227,3868.503354856596
2021-10-09 00:11:11+00:00,\x057662e16eb0b3da5d5a9572a2621819ccb02b920e7201dba4186b795704b888,\xba39bf5db0cc53337ffbf4ab2bd2c014f12d0ae2,2.95,3678.7467078456375
2021-10-19 21:28:56+00:00,\x05f5100f705ac5cf6bdd49db132c89a0cc2bfa97d419c7a05e50734b3b58c6fa,\xdf9835dfd8de18fbcc8ce5ee327da455cb8a4921,0.1,3894.350035835946
2022-01-27 10:39:18+00:00,\x064567080712d298779c498b64d1869ab0ee0de9fe1ba5fb00a69e7a17f36e11,\x09988e9aeb8c0b835619305abfe2ce68fea17722,5.0,2531.9558094938766
2022-03-20 01:56:59+00:00,\x06e7580e21c06e2c46a9a93e02f65c4ae70a1f316d2c46153842860a73d43720,\x9d515256c7184a1afcc20a4eb9e82d33eede6262,0.2403784700343654,3021.041238440551
2021-12-06 14:06:00+00:00,\x072b2f3f36a67d64abeda1e5a699384d7ec077fa4b8284163b408de62533a318,\xcab62e7d3994b0dd38a9724e695f824674dda130,93.19264463221751,4264.15140126268
2021-09-18 10:12:10+00:00,\x0745f059f1ea07669e7ef1b3a6bfcd7df951d520a0026ab0540ae234895c1158,\xa4cb2a73abeb4b06845e378d74af76dd719c6528,0.088,3543.094503573506
2021-10-10 10:14:00+00:00,\x07aa8be3f5e0c6ccfa006454de9df685ccd576962efd86b7f44d9688e71c0c76,\x232575cad9ff31a09a11870ce8668e56c497950f,2.25,3631.8947890399218
2021-10-30 20:58:10+00:00,\x08377a7d5a3d9ed5ea81beb77c357f22272f2e53868bf3209b945fca7383f49e,\xd7e7f74da438c61e33a7ce4ef757fad1a9cf4d04,0.14670220407055587,4471.54715842531
2021-07-14 16:45:48+00:00,\x087d124c4c68ff97facbc370c206008cbc55e46e108564131ef7ae3b1cc67bbb,\x3fd1ddf28f604cfe5fefa3adc38e38be2f7208d6,49.0,1983.7749547946403
