block_time,block_number,contract_address,sender,recipient,tokens_transferred,tx_hash,index,tx_index
2021-08-06 04:15:52+00:00,12969195,\x787546bf2c05e3e19e2b6bde57a203da7f682eff,\xf83895c42ea4c2b6e1f597828a1f27a0d7147497,\xa500e3a6ec04f77a833922f257bdaf2b0c47924d,103526.22570343464,\x96d9e74e6973eb26ce9475a4dadd5c580f655abe038a5bf3ce2728792a616ba0,501.0,315.0
2021-08-06 04:15:52+00:00,12969195,\x893b30574bf183d69413717f30b17062ec9dfd8b,\xf83895c42ea4c2b6e1f597828a1f27a0d7147497,\xa500e3a6ec04f77a833922f257bdaf2b0c47924d,48825.80349682538,\xb947f0f8704cb79611a518b47d3e8d4f00af1cf5fa22df966e9b2157807a6063,522.0,328.0
2021-06-30 16:04:49+00:00,12736325,\xa8d4433badaa1a35506804b43657b0694dea928d,\xdb028a8fa0b75d12e0c4795674a9740dc5f067cb,\x89ba1510f92d99d4f6968b0e2999a096c7347f50,774438.3395923917,\x9b2a9b8f6f6e229c473328771e39f96c967c0790ecfec70ae68acaa131a55ea5,121.0,54.0
2021-06-30 16:18:55+00:00,12736393,\xa8d4433badaa1a35506804b43657b0694dea928d,\xdb028a8fa0b75d12e0c4795674a9740dc5f067cb,\xcaf5d65d91646de885a5200c44db3a62c2f9b5e3,534471.3247289651,\xa4f25f42e912b158486fae7befc4178befa37d7901a5c9a241310182bacc4726,190.0,93.0
2021-07-31 00:07:41+00:00,12930072,\xa8d4433badaa1a35506804b43657b0694dea928d,\xee160154b02a2e404c6c13ff0b28ed76010cf07d,\x4d1dcf15acbc0b69aed7b0d87bda5cbc66c48184,101291.5296953669,\xb2ae27aab909991cefc4d4862df0d46868657779d84bff1eb68b0614dd0256bf,386.0,196.0
2021-08-06 04:19:17+00:00,12969208,\xa8d4433badaa1a35506804b43657b0694dea928d,\xf83895c42ea4c2b6e1f597828a1f27a0d7147497,\xa500e3a6ec04f77a833922f257bdaf2b0c47924d,21177.877141453737,\x04fe5bf2e101f80cc7186c7b379b7d44e91b451681084c6d8dbdf068d63972fc,28.0,28.0
2021-10-20 14:37:13+00:00,13455189,\x09b1b33bad0e87454ff05696b1151bfbd208a43f,\xb58c4358669bb70df715b6747447eb63afea8916,\xc4e77094edc906de132888bd6b7bd70465560217,4437362.82279447,\xc406199cecdd816552a6d045dcc1641cc2d0362432067a42572cfa10081db690,362.0,256.0
2021-09-29 11:53:37+00:00,13320500,\x10a2f8bd81ee2898d7ed18fb8f114034a549fa59,\x29033b001da92e7577760bb05e2c78210f1d13d0,\x833e486f3a4e40078af8b3cd204aa4aac1b93563,10.0,\x2ddc6777b85c5be6df6ececcc6ea908cd0d06cb57eaaae45d5b2eddc8e580974,99.0,71.0
2021-10-21 10:02:04+00:00,13460322,\x10a2f8bd81ee2898d7ed18fb8f114034a549fa59,\xbadd694db13d489bf9feb23e73a38a39bfd1e233,\x36ceeffcefc7c0f65cdc354fc251ac1d1a7bf861,1387.0,\x5abfc7475cb37a6dd2cf87eb75edd83333aeb07e98368caa2b0b6ff7269b975f,200.0,114.0
2021-10-21 10:02:04+00:00,13460322,\x10a2f8bd81ee2898d7ed18fb8f114034a549fa59,\xbadd694db13d489bf9feb23e73a38a39bfd1e233,\x02ca45f5a62143becc50c322c87555781cfaae72,1387.0,\x5abfc7475cb37a6dd2cf87eb75edd83333aeb07e98368caa2b0b6ff7269b975f,201.0,114.0
